Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
📝 Generate Artikel SEO: plakat batas administratif,2026-09-14,10:00,2026-09-14,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas administratif'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas administratif"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah desa,2026-09-21,10:00,2026-09-21,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah desa'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah desa"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat patok batas,2026-09-28,10:00,2026-09-28,10:30,False,"""Generate 1 artikel untuk keyword 'plakat patok batas'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat patok batas"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat patok wilayah,2026-10-05,10:00,2026-10-05,10:30,False,"""Generate 1 artikel untuk keyword 'plakat patok wilayah'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat patok wilayah"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas tanah,2026-10-12,10:00,2026-10-12,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas tanah'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas tanah"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas kawasan,2026-10-19,10:00,2026-10-19,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas kawasan'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas kawasan"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas area,2026-10-26,10:00,2026-10-26,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas area'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas area"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas zona,2026-11-02,10:00,2026-11-02,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas zona'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas zona"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah custom,2026-11-09,10:00,2026-11-09,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah custom'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah custom"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah logam,2026-11-16,10:00,2026-11-16,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah logam'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah logam"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah kuningan,2026-11-23,10:00,2026-11-23,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah kuningan'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah kuningan"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah tembaga,2026-11-30,10:00,2026-11-30,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah tembaga'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah tembaga"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah premium,2026-12-07,10:00,2026-12-07,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah premium'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah premium"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
📝 Generate Artikel SEO: plakat batas wilayah eksklusif,2026-12-14,10:00,2026-12-14,10:30,False,"""Generate 1 artikel untuk keyword 'plakat batas wilayah eksklusif'\n\nJalankan: node scripts/seo/article-generate.mjs """"plakat batas wilayah eksklusif"""" --category """"Plakat""""\n\nTips:\n- Pastikan keyword unik (cek dulu di articles.ts)\n- Gunakan --dry-run dulu untuk preview\n- Kalau OK, jalankan tanpa --dry-run\n- Commit & push setelah generate\n\n⚠️ JANGAN digabung dengan task scheduler otomatis (20:00)!""",,False
